"Jahr","Partei","ParteiNr","Wahlkreis","WahlkreisSort","Stimmenanteil"
1931,"Demokraten",9,"Stadt Zürich",0,8.5
1931,"LDU",15,"Stadt Zürich",0,
1933,"SP",1,"Stadt Zürich",0,47.8
1933,"BGB/SVP",2,"Stadt Zürich",0,4.2
1933,"FDP",3,"Stadt Zürich",0,16.9
1933,"GPS",4,"Stadt Zürich",0,
1933,"GLP",5,"Stadt Zürich",0,
1933,"CVP/Die Mitte",6,"Stadt Zürich",0,8.3
1933,"AL",7,"Stadt Zürich",0,
1933,"EVP",8,"Stadt Zürich",0,2.3
1933,"Demokraten",9,"Stadt Zürich",0,7.5
1933,"LDU",15,"Stadt Zürich",0,
1938,"SP",1,"Stadt Zürich",0,41.6
1938,"BGB/SVP",2,"Stadt Zürich",0,2.9
1938,"FDP",3,"Stadt Zürich",0,16.3
1938,"GPS",4,"Stadt Zürich",0,
1938,"GLP",5,"Stadt Zürich",0,
1938,"CVP/Die Mitte",6,"Stadt Zürich",0,7.5
1938,"AL",7,"Stadt Zürich",0,
1938,"EVP",8,"Stadt Zürich",0,1.3
1938,"Demokraten",9,"Stadt Zürich",0,5.3
1938,"LDU",15,"Stadt Zürich",0,16
1942,"SP",1,"Stadt Zürich",0,36.5
1942,"BGB/SVP",2,"Stadt Zürich",0,
1942,"FDP",3,"Stadt Zürich",0,15.7
1942,"GPS",4,"Stadt Zürich",0,
1942,"GLP",5,"Stadt Zürich",0,
1942,"CVP/Die Mitte",6,"Stadt Zürich",0,9.2
1942,"AL",7,"Stadt Zürich",0,
1942,"EVP",8,"Stadt Zürich",0,1.7
1942,"Demokraten",9,"Stadt Zürich",0,5.4
1942,"LDU",15,"Stadt Zürich",0,28.6
1946,"SP",1,"Stadt Zürich",0,29.1
1946,"BGB/SVP",2,"Stadt Zürich",0,4.9
1946,"FDP",3,"Stadt Zürich",0,15
1946,"GPS",4,"Stadt Zürich",0,
1946,"GLP",5,"Stadt Zürich",0,
1946,"CVP/Die Mitte",6,"Stadt Zürich",0,9.5
1946,"AL",7,"Stadt Zürich",0,
1946,"EVP",8,"Stadt Zürich",0,1.9
1946,"Demokraten",9,"Stadt Zürich",0,4.3
1946,"LDU",15,"Stadt Zürich",0,17.3
1950,"SP",1,"Stadt Zürich",0,31.3
1950,"BGB/SVP",2,"Stadt Zürich",0,5.2
1950,"FDP",3,"Stadt Zürich",0,16.3
1950,"GPS",4,"Stadt Zürich",0,
1950,"GLP",5,"Stadt Zürich",0,
1950,"CVP/Die Mitte",6,"Stadt Zürich",0,12.3
1950,"AL",7,"Stadt Zürich",0,
1950,"EVP",8,"Stadt Zürich",0,2.3
1950,"Demokraten",9,"Stadt Zürich",0,2.8
1950,"LDU",15,"Stadt Zürich",0,19.4
1954,"SP",1,"Stadt Zürich",0,34.1
1954,"BGB/SVP",2,"Stadt Zürich",0,5.6
1954,"FDP",3,"Stadt Zürich",0,17.1
1954,"GPS",4,"Stadt Zürich",0,
1954,"GLP",5,"Stadt Zürich",0,
1954,"CVP/Die Mitte",6,"Stadt Zürich",0,13.5
1954,"AL",7,"Stadt Zürich",0,
1954,"EVP",8,"Stadt Zürich",0,3.4
1954,"Demokraten",9,"Stadt Zürich",0,4.2
1954,"LDU",15,"Stadt Zürich",0,14.5
1958,"SP",1,"Stadt Zürich",0,35.1
1958,"BGB/SVP",2,"Stadt Zürich",0,5.9
1958,"FDP",3,"Stadt Zürich",0,17.2
1958,"GPS",4,"Stadt Zürich",0,
1958,"GLP",5,"Stadt Zürich",0,
1958,"CVP/Die Mitte",6,"Stadt Zürich",0,14.8
1958,"AL",7,"Stadt Zürich",0,
1958,"EVP",8,"Stadt Zürich",0,4.8
1958,"Demokraten",9,"Stadt Zürich",0,3.4
1958,"LDU",15,"Stadt Zürich",0,17.3
1962,"SP",1,"Stadt Zürich",0,33.1
1962,"BGB/SVP",2,"Stadt Zürich",0,6.4
1962,"FDP",3,"Stadt Zürich",0,19.8
1962,"GPS",4,"Stadt Zürich",0,
1962,"GLP",5,"Stadt Zürich",0,
1962,"CVP/Die Mitte",6,"Stadt Zürich",0,15.1
1962,"AL",7,"Stadt Zürich",0,
1962,"EVP",8,"Stadt Zürich",0,5.7
1962,"Demokraten",9,"Stadt Zürich",0,2.9
1962,"LDU",15,"Stadt Zürich",0,14.1
1966,"SP",1,"Stadt Zürich",0,32.4
1966,"BGB/SVP",2,"Stadt Zürich",0,6.5
1966,"FDP",3,"Stadt Zürich",0,16.9
1966,"GPS",4,"Stadt Zürich",0,
1966,"GLP",5,"Stadt Zürich",0,
1966,"CVP/Die Mitte",6,"Stadt Zürich",0,13.1
1966,"AL",7,"Stadt Zürich",0,
1966,"EVP",8,"Stadt Zürich",0,5.5
1966,"Demokraten",9,"Stadt Zürich",0,4
1966,"LDU",15,"Stadt Zürich",0,17.9
1970,"SP",1,"Stadt Zürich",0,30.1
1970,"BGB/SVP",2,"Stadt Zürich",0,6.3
1970,"FDP",3,"Stadt Zürich",0,19.2
1970,"GPS",4,"Stadt Zürich",0,
1970,"GLP",5,"Stadt Zürich",0,
1970,"CVP/Die Mitte",6,"Stadt Zürich",0,12.9
1970,"AL",7,"Stadt Zürich",0,
1970,"EVP",8,"Stadt Zürich",0,8.3
1970,"Demokraten",9,"Stadt Zürich",0,
1970,"LDU",15,"Stadt Zürich",0,20.8
1974,"SP",1,"Stadt Zürich",0,28.4
1974,"BGB/SVP",2,"Stadt Zürich",0,5.3
1974,"FDP",3,"Stadt Zürich",0,16.9
1974,"GPS",4,"Stadt Zürich",0,
1974,"GLP",5,"Stadt Zürich",0,
1974,"CVP/Die Mitte",6,"Stadt Zürich",0,12.2
1974,"AL",7,"Stadt Zürich",0,
1974,"EVP",8,"Stadt Zürich",0,6.7
1974,"Demokraten",9,"Stadt Zürich",0,
1974,"LDU",15,"Stadt Zürich",0,14.2
1978,"SP",1,"Stadt Zürich",0,34.8
1978,"BGB/SVP",2,"Stadt Zürich",0,5.8
1978,"FDP",3,"Stadt Zürich",0,17.8
1978,"GPS",4,"Stadt Zürich",0,
1978,"GLP",5,"Stadt Zürich",0,
1978,"CVP/Die Mitte",6,"Stadt Zürich",0,12.2
1978,"AL",7,"Stadt Zürich",0,
1978,"EVP",8,"Stadt Zürich",0,7.1
1978,"Demokraten",9,"Stadt Zürich",0,
1978,"LDU",15,"Stadt Zürich",0,12.8
1982,"SP",1,"Stadt Zürich",0,27.8
1982,"BGB/SVP",2,"Stadt Zürich",0,7.5
1982,"FDP",3,"Stadt Zürich",0,24.3
1982,"GPS",4,"Stadt Zürich",0,
1982,"GLP",5,"Stadt Zürich",0,
1982,"CVP/Die Mitte",6,"Stadt Zürich",0,12.3
1982,"AL",7,"Stadt Zürich",0,
1982,"EVP",8,"Stadt Zürich",0,6.4
1982,"Demokraten",9,"Stadt Zürich",0,
1982,"LDU",15,"Stadt Zürich",0,9.8
1986,"SP",1,"Stadt Zürich",0,26.8
1986,"BGB/SVP",2,"Stadt Zürich",0,6.5
1986,"FDP",3,"Stadt Zürich",0,20.2
1986,"GPS",4,"Stadt Zürich",0,5.6
1986,"GLP",5,"Stadt Zürich",0,
1986,"CVP/Die Mitte",6,"Stadt Zürich",0,11.3
1986,"AL",7,"Stadt Zürich",0,
1986,"EVP",8,"Stadt Zürich",0,5.4
1986,"Demokraten",9,"Stadt Zürich",0,
1986,"LDU",15,"Stadt Zürich",0,8.2
1990,"SP",1,"Stadt Zürich",0,29.4
1990,"BGB/SVP",2,"Stadt Zürich",0,7.9
1990,"FDP",3,"Stadt Zürich",0,17.7
1990,"GPS",4,"Stadt Zürich",0,7.5
1990,"GLP",5,"Stadt Zürich",0,
1990,"CVP/Die Mitte",6,"Stadt Zürich",0,8.7
1990,"AL",7,"Stadt Zürich",0,3.8
1990,"EVP",8,"Stadt Zürich",0,4.3
1990,"Demokraten",9,"Stadt Zürich",0,
1990,"LDU",15,"Stadt Zürich",0,6.5
1994,"SP",1,"Stadt Zürich",0,29.4
1994,"BGB/SVP",2,"Stadt Zürich",0,14.2
1994,"FDP",3,"Stadt Zürich",0,20.7
1994,"GPS",4,"Stadt Zürich",0,5.5
1994,"GLP",5,"Stadt Zürich",0,
1994,"CVP/Die Mitte",6,"Stadt Zürich",0,7.1
1994,"AL",7,"Stadt Zürich",0,1.8
1994,"EVP",8,"Stadt Zürich",0,3.5
1994,"Demokraten",9,"Stadt Zürich",0,
1994,"LDU",15,"Stadt Zürich",0,5.9
1998,"SP",1,"Stadt Zürich",0,34.5
1998,"BGB/SVP",2,"Stadt Zürich",0,17.7
1998,"FDP",3,"Stadt Zürich",0,18.3
1998,"GPS",4,"Stadt Zürich",0,5.1
1998,"GLP",5,"Stadt Zürich",0,
1998,"CVP/Die Mitte",6,"Stadt Zürich",0,6.4
1998,"AL",7,"Stadt Zürich",0,1.8
1998,"EVP",8,"Stadt Zürich",0,3.3
1998,"Demokraten",9,"Stadt Zürich",0,
1998,"LDU",15,"Stadt Zürich",0,4.5
2002,"SP",1,"Stadt Zürich",0,34.8
2002,"BGB/SVP",2,"Stadt Zürich",0,18.5
2002,"FDP",3,"Stadt Zürich",0,16
2002,"GPS",4,"Stadt Zürich",0,8.7
2002,"GLP",5,"Stadt Zürich",0,
2002,"CVP/Die Mitte",6,"Stadt Zürich",0,6.3
2002,"AL",7,"Stadt Zürich",0,3.4
2002,"EVP",8,"Stadt Zürich",0,3
2002,"Demokraten",9,"Stadt Zürich",0,
2002,"LDU",15,"Stadt Zürich",0,
2006,"SP",1,"Stadt Zürich",0,33.5
2006,"BGB/SVP",2,"Stadt Zürich",0,18.5
2006,"FDP",3,"Stadt Zürich",0,15
2006,"GPS",4,"Stadt Zürich",0,10.8
2006,"GLP",5,"Stadt Zürich",0,2.6
2006,"CVP/Die Mitte",6,"Stadt Zürich",0,7.8
2006,"AL",7,"Stadt Zürich",0,3.6
2006,"EVP",8,"Stadt Zürich",0,4.7
2006,"Demokraten",9,"Stadt Zürich",0,
2006,"LDU",15,"Stadt Zürich",0,
2010,"SP",1,"Stadt Zürich",0,30
2010,"BGB/SVP",2,"Stadt Zürich",0,19
2010,"FDP",3,"Stadt Zürich",0,14.1
2010,"GPS",4,"Stadt Zürich",0,11.1
2010,"GLP",5,"Stadt Zürich",0,9.8
2010,"CVP/Die Mitte",6,"Stadt Zürich",0,5.7
2010,"AL",7,"Stadt Zürich",0,4
2010,"EVP",8,"Stadt Zürich",0,3.2
2010,"Demokraten",9,"Stadt Zürich",0,
2010,"LDU",15,"Stadt Zürich",0,
2014,"SP",1,"Stadt Zürich",0,28.9
2014,"BGB/SVP",2,"Stadt Zürich",0,17.9
2014,"FDP",3,"Stadt Zürich",0,16
2014,"GPS",4,"Stadt Zürich",0,10.4
2014,"GLP",5,"Stadt Zürich",0,10.2
2014,"CVP/Die Mitte",6,"Stadt Zürich",0,4.7
2014,"AL",7,"Stadt Zürich",0,6.2
2014,"EVP",8,"Stadt Zürich",0,2.6
2014,"Demokraten",9,"Stadt Zürich",0,
2014,"LDU",15,"Stadt Zürich",0,
2018,"SP",1,"Stadt Zürich",0,32.4
2018,"BGB/SVP",2,"Stadt Zürich",0,13.4
2018,"FDP",3,"Stadt Zürich",0,16.3
2018,"GPS",4,"Stadt Zürich",0,11.9
2018,"GLP",5,"Stadt Zürich",0,10.6
2018,"CVP/Die Mitte",6,"Stadt Zürich",0,3.7
2018,"AL",7,"Stadt Zürich",0,7.5
2018,"Demokraten",9,"Stadt Zürich",0,
2018,"EVP",14,"Stadt Zürich",0,3
2018,"LDU",15,"Stadt Zürich",0,
2022,"SP",1,"Stadt Zürich",0,28.22
2022,"BGB/SVP",2,"Stadt Zürich",0,11.46
2022,"FDP",3,"Stadt Zürich",0,17.48
2022,"GPS",4,"Stadt Zürich",0,14.11
2022,"GLP",5,"Stadt Zürich",0,12.98
2022,"CVP/Die Mitte",6,"Stadt Zürich",0,4.42
2022,"AL",7,"Stadt Zürich",0,6.35
2022,"EVP",8,"Stadt Zürich",0,2.78
2022,"Demokraten",9,"Stadt Zürich",0,
2022,"LDU",15,"Stadt Zürich",0,
1913,"SP",1,"Kreis 1 (bis 2002)",1.1,21.9
1913,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1913,"FDP",3,"Kreis 1 (bis 2002)",1.1,54.8
1913,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1913,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1913,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,7.9
1913,"AL",7,"Kreis 1 (bis 2002)",1.1,
1913,"EVP",8,"Kreis 1 (bis 2002)",1.1,
1913,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,15.4
1913,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1916,"SP",1,"Kreis 1 (bis 2002)",1.1,30.8
1916,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1916,"FDP",3,"Kreis 1 (bis 2002)",1.1,48.2
1916,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1916,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1916,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,7.7
1916,"AL",7,"Kreis 1 (bis 2002)",1.1,
1916,"EVP",8,"Kreis 1 (bis 2002)",1.1,
1916,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,13.3
1916,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1919,"SP",1,"Kreis 1 (bis 2002)",1.1,33.9
1919,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1919,"FDP",3,"Kreis 1 (bis 2002)",1.1,41.1
1919,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1919,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1919,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,7
1919,"AL",7,"Kreis 1 (bis 2002)",1.1,
1919,"EVP",8,"Kreis 1 (bis 2002)",1.1,
1919,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,9.8
1919,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1922,"SP",1,"Kreis 1 (bis 2002)",1.1,23.1
1922,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1922,"FDP",3,"Kreis 1 (bis 2002)",1.1,38.6
1922,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1922,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1922,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,9.6
1922,"AL",7,"Kreis 1 (bis 2002)",1.1,
1922,"EVP",8,"Kreis 1 (bis 2002)",1.1,
1922,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,10
1922,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1925,"SP",1,"Kreis 1 (bis 2002)",1.1,31.7
1925,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1925,"FDP",3,"Kreis 1 (bis 2002)",1.1,35.6
1925,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1925,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1925,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,10.8
1925,"AL",7,"Kreis 1 (bis 2002)",1.1,
1925,"EVP",8,"Kreis 1 (bis 2002)",1.1,2.2
1925,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,8.7
1925,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1928,"SP",1,"Kreis 1 (bis 2002)",1.1,37.5
1928,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1928,"FDP",3,"Kreis 1 (bis 2002)",1.1,38.3
1928,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1928,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1928,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,8.8
1928,"AL",7,"Kreis 1 (bis 2002)",1.1,
1928,"EVP",8,"Kreis 1 (bis 2002)",1.1,7.7
1928,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,
1928,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1931,"SP",1,"Kreis 1 (bis 2002)",1.1,40
1931,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1931,"FDP",3,"Kreis 1 (bis 2002)",1.1,33.8
1931,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1931,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1931,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,9.5
1931,"AL",7,"Kreis 1 (bis 2002)",1.1,
1931,"EVP",8,"Kreis 1 (bis 2002)",1.1,2.7
1931,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,6.8
1931,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1933,"SP",1,"Kreis 1 (bis 2002)",1.1,41.4
1933,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,3.8
1933,"FDP",3,"Kreis 1 (bis 2002)",1.1,23.4
1933,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1933,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1933,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,8.3
1933,"AL",7,"Kreis 1 (bis 2002)",1.1,
1933,"EVP",8,"Kreis 1 (bis 2002)",1.1,1.9
1933,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,6
1933,"LDU",15,"Kreis 1 (bis 2002)",1.1,
1938,"SP",1,"Kreis 1 (bis 2002)",1.1,31.5
1938,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,2.5
1938,"FDP",3,"Kreis 1 (bis 2002)",1.1,23.4
1938,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1938,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1938,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,8.2
1938,"AL",7,"Kreis 1 (bis 2002)",1.1,
1938,"EVP",8,"Kreis 1 (bis 2002)",1.1,1.3
1938,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,4.6
1938,"LDU",15,"Kreis 1 (bis 2002)",1.1,17.1
1942,"SP",1,"Kreis 1 (bis 2002)",1.1,26.5
1942,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,
1942,"FDP",3,"Kreis 1 (bis 2002)",1.1,23.7
1942,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1942,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1942,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,10.7
1942,"AL",7,"Kreis 1 (bis 2002)",1.1,
1942,"EVP",8,"Kreis 1 (bis 2002)",1.1,
1942,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,5.6
1942,"LDU",15,"Kreis 1 (bis 2002)",1.1,33.5
1946,"SP",1,"Kreis 1 (bis 2002)",1.1,19.9
1946,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,6.6
1946,"FDP",3,"Kreis 1 (bis 2002)",1.1,23.5
1946,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1946,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1946,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,9.5
1946,"AL",7,"Kreis 1 (bis 2002)",1.1,
1946,"EVP",8,"Kreis 1 (bis 2002)",1.1,2.2
1946,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,3.4
1946,"LDU",15,"Kreis 1 (bis 2002)",1.1,17.6
1950,"SP",1,"Kreis 1 (bis 2002)",1.1,21.5
1950,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,6.8
1950,"FDP",3,"Kreis 1 (bis 2002)",1.1,25.9
1950,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1950,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1950,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,13.3
1950,"AL",7,"Kreis 1 (bis 2002)",1.1,
1950,"EVP",8,"Kreis 1 (bis 2002)",1.1,
1950,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,
1950,"LDU",15,"Kreis 1 (bis 2002)",1.1,21.2
1954,"SP",1,"Kreis 1 (bis 2002)",1.1,24.7
1954,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,7.2
1954,"FDP",3,"Kreis 1 (bis 2002)",1.1,27.9
1954,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1954,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1954,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,14.7
1954,"AL",7,"Kreis 1 (bis 2002)",1.1,
1954,"EVP",8,"Kreis 1 (bis 2002)",1.1,3.3
1954,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,3
1954,"LDU",15,"Kreis 1 (bis 2002)",1.1,14.5
1958,"SP",1,"Kreis 1 (bis 2002)",1.1,25
1958,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,8.2
1958,"FDP",3,"Kreis 1 (bis 2002)",1.1,26.7
1958,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1958,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1958,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,16.1
1958,"AL",7,"Kreis 1 (bis 2002)",1.1,
1958,"EVP",8,"Kreis 1 (bis 2002)",1.1,3.9
1958,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,2.9
1958,"LDU",15,"Kreis 1 (bis 2002)",1.1,17.2
1962,"SP",1,"Kreis 1 (bis 2002)",1.1,21.8
1962,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,9.9
1962,"FDP",3,"Kreis 1 (bis 2002)",1.1,31.8
1962,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1962,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1962,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,13.6
1962,"AL",7,"Kreis 1 (bis 2002)",1.1,
1962,"EVP",8,"Kreis 1 (bis 2002)",1.1,6.2
1962,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,1.5
1962,"LDU",15,"Kreis 1 (bis 2002)",1.1,15.2
1966,"SP",1,"Kreis 1 (bis 2002)",1.1,21.5
1966,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,9.4
1966,"FDP",3,"Kreis 1 (bis 2002)",1.1,25.2
1966,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1966,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1966,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,14.8
1966,"AL",7,"Kreis 1 (bis 2002)",1.1,
1966,"EVP",8,"Kreis 1 (bis 2002)",1.1,5.3
1966,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,6.1
1966,"LDU",15,"Kreis 1 (bis 2002)",1.1,17.7
1970,"SP",1,"Kreis 1 (bis 2002)",1.1,25.7
1970,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,7.7
1970,"FDP",3,"Kreis 1 (bis 2002)",1.1,27.4
1970,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1970,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1970,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,12.9
1970,"AL",7,"Kreis 1 (bis 2002)",1.1,
1970,"EVP",8,"Kreis 1 (bis 2002)",1.1,8.8
1970,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,
1970,"LDU",15,"Kreis 1 (bis 2002)",1.1,16.5
1974,"SP",1,"Kreis 1 (bis 2002)",1.1,32.4
1974,"BGB/SVP",2,"Kreis 1 (bis 2002)",1.1,3.1
1974,"FDP",3,"Kreis 1 (bis 2002)",1.1,27.2
1974,"GPS",4,"Kreis 1 (bis 2002)",1.1,
1974,"GLP",5,"Kreis 1 (bis 2002)",1.1,
1974,"CVP/Die Mitte",6,"Kreis 1 (bis 2002)",1.1,9.4
1974,"AL",7,"Kreis 1 (bis 2002)",1.1,
1974,"EVP",8,"Kreis 1 (bis 2002)",1.1,8.7
1974,"Demokraten",9,"Kreis 1 (bis 2002)",1.1,
1974,"LDU",15,"Kreis 1 (bis 2002)",1.1,7.7
1978,"SP",1,"Kreis 1 (bis 2002)",1.1,41.1
