"Fertility and socio-economic data of Switzerland, 1870",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
The fertility of women per district is to be modelled as a function of,,,,,,,,,,,,,,,,,,,,,,,,
socio-economic variables.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Dimension: 182 districts, 25 variables",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
fertility,fertTotal,infantMort,catholic,single24,single49,eAgric,eIndustry,eCommerce,eTransport,eAdmin,german,french,italian,romansh,gradeHigh,gradeLow,educHigh,bornLocal,bornForeign,sexratio,canton,district,altitude,language
67,27.4,15.6,98.56,87.3,19.7,68.6,23.3,3.4,0.2,2.6,99.81,0.06,0.12,0.01,14,15,20,48.2,0.7,1038,Lucerne,Hochdorf,low,german
57.4,24.4,16.7,90.91,80.7,21.5,33.5,38.8,9.9,11.6,5.4,97.88,0.84,1.03,0.03,25,18,30,40,4.7,976,Lucerne,Luzern,low,german
67.9,26.9,16.4,97.71,83.6,24,69.5,22.2,3.2,1.6,3.2,99.9,0.03,0.04,0.01,13,24,20,51.6,0.4,1026,Lucerne,Sursee,middle,german
77.5,32.2,17.3,91.54,82,23.3,73.9,19.2,2.8,1.2,2.8,99.81,0.13,0.04,0.02,10,33,16,54.4,0.5,1032,Lucerne,Willisau,middle,german
92.8,35.3,19,97.83,84,28.3,64,14.9,5.1,11.8,2.9,98.71,0.12,1.07,0.09,7,35,7,73.1,2.1,939,Uri,Uri,middle,german
69,28.6,17.9,99.25,81.9,17.8,42,38.2,8.2,4.5,4.7,98.99,0.46,0.39,0.16,17,16,24,78.5,4.4,948,Schwyz,Einsiedeln,middle,german
78.6,32.8,18.2,97.83,75.3,22.8,43.8,33.9,9.6,5.6,3.2,98.65,0.76,0.43,0.11,5,34,7,78.3,3.4,893,Schwyz,Gersau,low,german
65.9,29.2,23.1,94.78,81.2,16.2,59.7,27.8,4.8,5.1,1.8,99.13,0.02,0.66,0.19,9,23,7,63.5,2.4,928,Schwyz,Hoefe,middle,german
63.2,29.7,14.1,98.19,78.1,18.1,57.5,32.9,4.4,3,1.7,99.86,0.1,0.03,0,17,16,24,67.2,1.4,1120,Schwyz,Kuessnacht,low,german
69.9,31.8,20.6,96.91,76.7,14.6,60.6,27.5,4.4,4.5,2.1,99.35,0.05,0.51,0.07,12,23,10,70.9,1.9,973,Schwyz,March,low,german
74.4,30.5,16.3,98.7,80.2,23.2,60.6,23.9,5.4,5.9,3.8,98.35,0.44,1.05,0.11,10,32,12,69.7,2.8,962,Schwyz,Schwyz,middle,german
76.1,29.3,12.7,97.76,85.3,25.3,66.7,18.8,2.9,8.5,3,97.73,0.2,1.99,0.05,14,15,6,75.6,2.7,998,Schwyz,Obwalden,low,german
76.3,32.6,15.1,99.09,78.1,24.7,53.1,27,5.9,10.7,3,96.63,0.11,3.21,0.02,16,14,12,64.7,4.4,962,Schwyz,Nidwalden,low,german
48.6,24.2,18.8,23.07,67.6,13.7,28.2,58.3,5.2,4.6,3.5,98.92,0.15,0.61,0.28,23,11,20,68.4,3.4,897,Schwyz,Glarus,low,german
62.5,25.1,17.1,93.91,81.8,19.7,47.3,39.6,4.6,4.6,3.4,98.78,0.54,0.52,0.07,18,15,26,54.3,2.9,945,Schwyz,Zug,low,german
83.8,41.4,23.6,92.85,75.7,21.8,75.2,16.6,2.3,2.4,3.1,6.59,93.25,0.15,0,16,17,7,64.9,1.2,1018,Fribourg,Broye,low,french
92.4,39,24.9,97.16,82.2,25.8,73.2,17.8,2.9,2.7,2.9,2.95,96.8,0.24,0,14,16,8,58,1.1,1036,Fribourg,Glane,middle,french
82.4,36.2,21,97.67,77.8,26.7,64.6,22.6,4.2,3.3,3.5,6.92,92.45,0.61,0,12,22,7,67.3,1.5,961,Fribourg,Gruyere,middle,french
82.9,33.3,24.4,91.38,79.6,26.5,51.9,28.4,5.5,6.3,6.6,22.68,76.89,0.36,0.02,16,22,13,49,2.5,964,Fribourg,Sarine,middle,french
82.6,40.7,22.2,25.77,77,18.8,79.8,15.7,1.1,1.7,1.7,70.74,29.1,0.07,0,11,14,10,56.1,1,1015,Fribourg,See,low,german
97,40.2,18.9,81.51,78.4,28,68.9,23.5,2.8,1.4,3,95.54,4.41,0.03,0.02,6,24,3,55.8,0.5,1014,Fribourg,Sense,middle,german
87.1,36.9,24.5,98.61,77.6,23,73.9,19.9,1.9,1.5,2.5,1.3,98.23,0.46,0,14,22,6,73.1,1.5,989,Fribourg,Veveyse,middle,french
84.1,37.3,20.2,90.47,79.7,11,50.4,41.2,3.1,2.5,2.5,99.29,0.68,0.02,0,14,13,11,70.7,1.5,999,Solothrn,Balsthal-Gau,low,german
80.5,39.6,19.9,44.03,74.1,13.2,46.3,46,2.3,3.1,2.2,99.18,0.71,0.1,0.01,20,8,14,53.5,1.6,986,Solothrn,Bucheggberg,low,german
80.9,34.2,21.2,95.83,84.3,18.3,62.6,30,2.5,1.4,3.1,99.46,0.52,0.02,0,19,13,15,76.5,2.7,943,Solothrn,Dorneck,low,german
72.6,31.6,17.2,82.2,83.6,14.1,33.8,40.8,3.3,18.5,2.9,99.5,0.32,0.16,0,20,10,19,61.1,2.2,939,Solothrn,Goesgen,low,german
74.5,33.2,18.9,68.94,76.8,19.1,24.3,59,6.8,3.5,6.1,95.19,4.16,0.41,0,24,10,33,47,3.3,942,Solothrn,Solothurn,low,german
58.7,23.9,19.7,30.53,84.1,23.3,40.3,37.6,4.9,11.4,5.6,96.36,2.86,0.44,0.08,47,3,37,38.9,30.3,818,B.~Stadt,Basel-Stadt,low,german
64.4,29.7,21.8,20.81,71.8,12.5,4,54,19.8,13,8.1,97.66,1.09,1.04,0.03,25,9,8,34.2,15.5,1002,B.~Stadt,Basel-Land,low,german
78.7,38.4,24.7,48.28,75.8,12.2,32.5,47.2,6.2,10.1,2.7,98.79,0.87,0.32,0.01,16,16,12,51.4,11.7,960,Basellnd,Arlesheim,low,german
79.9,32.2,20.9,9.23,83.1,21.4,39.6,46.5,5.3,3.7,4,99.38,0.38,0.18,0.01,23,12,22,58.6,4.5,916,Basellnd,Liestal,low,german
78,33.6,18.4,4.81,79,14.5,49.3,43.3,2.3,2.5,2.2,99.66,0.24,0.08,0.01,22,10,9,63.1,2,980,Basellnd,Sissach,low,german
79.6,34.7,20.1,2.4,85,11,46.4,47.9,1.3,2,2.1,99.75,0.19,0.05,0.01,14,13,7,69.2,1.3,979,Basellnd,Waldenburg,middle,german
70.8,36.8,18.2,3.09,77.7,19.1,67.1,24.3,2.5,2.3,3.6,99.86,0.11,0,0,26,5,27,80.5,3,904,Schfhaus,"Klettgau,Obr",low,german
66.5,34.7,18,3.22,79.9,16.4,68.3,23.2,2.5,1.8,4.2,99.77,0.16,0.05,0.02,26,5,23,80,3.5,878,Schfhaus,"Klettgau,Unt",low,german
70.5,35.5,18.1,3.09,79.7,16.7,69,22.2,2,2.2,4.4,99.95,0.05,0,0,24,8,18,76.5,3.9,980,Schfhaus,Reiath,low,german
65.4,29.8,19.5,18.16,80.3,15.4,25.1,54.5,7.6,5.3,6.4,98.95,0.59,0.24,0.03,35,6,36,53.7,15.6,891,Schfhaus,Schaffhausen,low,german
70.1,36.8,18.8,3.09,79.8,23,60.2,26.3,2.3,8.3,2.9,98.96,0.22,0.77,0,20,3,18,86.6,4,949,Schfhaus,Schleitheim,low,german
61.4,27.6,17.6,28.29,80.5,24.1,44.2,44.5,4.3,2.5,4.4,99.39,0.51,0.06,0,28,13,27,61.2,11.5,899,Schfhaus,Stein,low,german
62.8,35.5,24.5,9.56,67.8,13,27.7,60.7,5.3,3.1,2.6,99.18,0.21,0.51,0.04,17,15,14,53.1,3.8,936,App~Ar,Hinterland,middle,german
60.6,32.1,22.4,7.01,73.5,15.6,30.1,57.2,4.9,4,2.9,99.31,0.09,0.56,0.02,18,10,21,56.5,2.8,928,App~Ar,Mitterland,middle,german
70.5,37.5,23.3,7.28,71.9,11.9,26.1,64.6,4.5,2.2,2,99.64,0.04,0.24,0.05,12,10,10,57.2,2.7,959,App~Ar,Vorderland,middle,german
70.7,37.5,27,94.76,64.4,18.3,55,32.9,6.2,2.4,2.3,99.7,0.06,0.22,0.02,6,32,8,73.4,2.3,960,App~Ir,Innerrhoden,middle,german
71.7,30,16.4,97.3,80.7,16.6,59.6,28.4,3.9,4.9,2.6,99.65,0,0.08,0.26,9,21,7,79.2,1.2,953,St~Gall,Gaster,low,german
69.1,32.7,25.3,75.65,78.5,11.7,31.8,53.8,5.6,5.8,2.1,99.12,0.13,0.62,0.12,14,8,14,39.6,6.4,984,St~Gall,Gossau,middle,german
69.5,31.7,24,67.92,80.4,18.6,51.3,39.8,3.8,2.3,2.4,99.49,0.1,0.31,0.08,11,19,12,74.8,3.8,917,St~Gall,"Rheinthal,Ob",low,german
73.8,33.9,23.5,44.55,84.9,12.3,44.9,45.2,2.9,3.8,3.1,99.59,0.12,0.17,0.1,19,8,17,68,5.2,958,St~Gall,"Rheinthal,Un",low,german
67.9,30.9,20.3,76.12,80,21,30.2,47.2,7.5,10.5,3.5,97.99,0.39,1.21,0.13,18,8,17,39.4,15.1,980,St~Gall,Rorschach,low,german
53.8,22.5,22.8,41.55,83.9,22.9,1.9,55.8,24.9,8.7,6.6,97.41,0.76,0.98,0.31,46,3,59,30.4,20.9,810,St~Gall,St~Gallen,middle,german
64.2,27.9,17.7,90.82,78.6,23.9,51.9,36.9,2.9,4.6,3.3,97.6,0.15,1.58,0.65,10,22,15,74.1,3.5,978,St~Gall,Sargans,middle,german
63,27.7,19.7,86.6,78.6,19.4,44.8,38.7,5.3,6.7,2.9,99.14,0.22,0.46,0.12,19,16,23,56.8,3.5,908,St~Gall,Seebezirk,low,german
65,32.1,26.3,70.81,79.8,15.3,27.5,51.8,9.4,5.3,3.6,97.64,0.13,1.95,0.1,15,8,18,34.6,11.1,964,St~Gall,Tablat,middle,german
74.8,32.9,19.7,84.86,84.9,18.8,42.4,51.5,2.1,1.9,1.8,99.85,0.03,0.1,0.01,12,15,9,65.6,1.7,959,St~Gall,"Toggnbrg,Alt",middle,german
56.6,28.7,19.4,26.08,73.5,11.8,34.9,53,5.3,2.5,2.8,99.42,0.18,0.26,0.11,19,11,19,48.6,3.2,946,St~Gall,"Toggnbrg,Neu",middle,german
59.1,30.1,17,24.01,73.5,10.8,43.5,47.5,2.9,2.6,2.5,99.62,0.04,0.3,0.03,18,12,16,64.1,1.8,945,St~Gall,"Toggnbrg,Obr",middle,german
56.1,28.9,20.5,41.91,79.4,12.4,26.5,65.5,3,2.5,2,99.59,0.09,0.22,0.04,25,10,16,45,3.2,970,St~Gall,"Toggnbrg,Unt",middle,german
67.8,32.8,14.9,14.64,69.4,23.3,53.3,37.7,2.3,4.1,2.2,99.32,0.11,0.31,0.24,9,16,12,81.2,1.8,995,St~Gall,Werdenberg,low,german
73.4,29.9,20.6,87.22,85.1,18.8,41.4,47,5.4,2.8,3.1,99.56,0.07,0.29,0.06,21,9,21,48.5,5,973,St~Gall,Wilter,middle,german
75.4,29.7,16.1,79.53,88.6,29,66.8,16.6,4.7,6.8,3.9,14.7,0.02,1.98,83.2,9,35,10,74.9,2.6,911,Grisons,Albula,high,romansh
78.1,28,16.3,79.08,89.5,24.1,64.9,21.5,5.5,3.1,4.4,1.63,0.15,96.57,1.49,16,19,13,84,10.3,822,Grisons,Bernina,high,italian
75.1,27.5,17.3,69.67,88.1,27.2,74.6,14.6,3.8,2.3,3.7,25.83,0.16,0.46,73.54,10,15,12,78.6,1.6,910,Grisons,Glenner,high,romansh
64.2,25.5,15.7,27.12,83.9,23.2,63.7,21.7,4.1,5.7,3.2,58.02,0.05,1.17,40.77,15,23,18,66,2.4,991,Grisons,Heizenberg,middle,romansh
61.7,24.9,14.4,6.52,84.2,9,72.2,11,3.2,5.6,4.2,50.04,0,1.59,48.37,11,18,12,73.9,1.4,908,Grisons,Hinterrheim,high,romansh
73.1,32.2,17.9,51.98,85,20.4,59.3,27.2,5.4,2.9,3.2,29.99,0.08,0.42,69.52,11,25,7,80.5,1.6,856,Grisons,Imboden,middle,romansh
65.5,31,17,20.12,77.7,17.1,64,19.3,5.2,4.6,4.1,14.72,0.06,2.68,82.53,25,20,25,74.1,7.8,864,Grisons,Inn,high,romansh
62.3,25.6,14,13.48,83.2,22.4,49,20.8,8.1,17.1,4.3,89.53,0.42,4.78,3.78,18,16,20,59.5,13.1,1077,Grisons,"Landquart,Ob",high,german
60.9,28.3,15.9,26.84,78.3,17,57.6,18.6,2.7,17,2.6,93.65,0.22,4.77,1.26,15,29,14,68.8,6.6,1101,Grisons,"Landquart,Un",middle,german
69.4,26,15.3,17.84,84.4,27.8,38,29.5,16.5,9.2,5.9,22.19,0.29,33.96,43.2,35,11,38,48.1,16.1,928,Grisons,Maloja,high,romansh
66.3,22.3,18.8,99.52,87.1,31.9,62.3,23.1,5.8,4.4,4,1.18,0.13,98.03,0.66,21,18,12,78,9.4,733,Grisons,Moesa,low,italian
64.6,31.9,12,51.14,71.7,15.2,73.6,15.4,2.3,2.8,5.3,19.93,0.07,1.81,78.19,13,18,16,67.7,13.7,893,Grisons,Muensterthal,high,romansh
58.8,23.4,16.9,26.15,86.8,21.3,32.9,33.7,10.8,12.1,7.9,86.85,0.33,2.19,10.51,28,15,29,49.7,7.8,951,Grisons,Plessur,middle,german
85.9,31.4,14.4,99.83,88.2,30.1,72,17.9,3.3,2,3.9,1.5,0.09,0.33,98.07,5,16,13,85,1.3,988,Grisons,Vorderrhein,high,romansh
73.9,30.7,15.3,7.57,82.3,18.6,33.8,47.8,5.9,5.3,6.6,99.32,0.46,0.12,0.03,19,13,25,62.2,3.1,900,Argovie,Aarau,low,german
72.2,30.1,20.5,78.36,83.7,16.6,48.2,39.8,4.7,3.2,3.7,99.67,0.16,0.09,0.02,10,17,12,62.2,3,930,Argovie,Baden,low,german
68.5,25.5,18.2,94.67,90.6,20.8,57.1,33.7,3.7,2.2,2.9,99.78,0.1,0.09,0.01,14,18,14,71.2,1.3,875,Argovie,Bremgarten,low,german
63.7,28,16.3,5.01,87.7,16,60.5,29,2.6,3.7,4.1,99.42,0.44,0.05,0.03,12,9,11,68.2,1.6,971,Argovie,Brugg,low,german
73.8,30.9,15.8,2.02,80.8,24.4,47.3,44.8,2.6,1.8,2.9,99.85,0.13,0.02,0.01,13,14,13,72.2,0.6,915,Argovie,Kulm,middle,german
64.1,26.1,18.3,96.82,85.9,13.2,64.4,28.4,2.4,2,2.7,99.83,0.09,0.04,0.01,11,15,11,81.6,3.1,944,Argovie,Laufenburg,low,german
70.4,28.7,16.6,3.16,85.3,18.9,45.5,43.4,4.1,3.3,3.3,99.73,0.2,0.05,0.01,20,10,17,68.1,1.3,886,Argovie,Lenzburg,low,german
74.1,29.7,18.3,97.54,87.1,23.4,69.2,22.4,2.6,2.2,3.4,99.87,0.05,0.06,0.01,10,19,15,64.3,0.5,956,Argovie,Muri,low,german
65.8,31.1,21.2,88.47,84.8,13.7,60.6,29.6,2.9,2.9,3.2,99.56,0.23,0.15,0.05,13,9,9,71.8,7.6,964,Argovie,Rheinfelden,low,german
76.6,30.5,16,2.88,82.6,19.3,40.8,46.9,4.2,4.6,3.3,99.37,0.47,0.11,0.01,17,13,13,60.7,1.3,884,Argovie,Zofingen,low,german
69.5,31.7,18.1,80.08,86.8,15.7,61.8,26.9,4.4,2.9,3.6,99.76,0.07,0.17,0,17,13,18,75.3,3.7,968,Argovie,Zurzach,low,german
61.3,30.8,18.7,25.89,81.3,11.2,34.3,44.6,5.5,12.2,2.8,99.36,0.21,0.28,0.07,29,8,25,49.8,10.2,986,Thurgove,Arbon,low,german
65,28.7,19.3,23.15,84.3,12.7,38.7,50.6,4.4,3.2,2.7,99.28,0.24,0.35,0.09,29,5,20,42,6.6,955,Thurgove,Bischofszell,middle,german
58.8,26.1,16,25.81,84.4,22,57.6,31.2,3.9,0.9,6.1,99.65,0.29,0,0.03,20,6,23,56.3,8.3,950,Thurgove,Diessenhofen,low,german
56.2,26.3,16.2,25.54,83.3,13.3,43.8,43.8,3.5,3.8,4.2,99.4,0.12,0.32,0.11,32,4,26,50.3,5.6,959,Thurgove,Frauenfeld,low,german
59.2,28.2,19.7,24.68,81.6,11.8,44.4,42.2,5.4,3.4,4,99.31,0.25,0.16,0,22,5,23,48,18,969,Thurgove,Kreuzlingen,low,german
68,28.9,17.2,53.72,81.2,16.7,48.8,44.7,1.6,1.9,2.7,99.35,0.15,0.44,0.05,19,8,15,53.1,3.1,985,Thurgove,Muenchwilen,middle,german
66.4,33,18.4,34.25,80.2,12.8,55.7,36.2,2.3,2,3,99.67,0.17,0.1,0.05,24,5,21,60.6,6.3,982,Thurgove,Steckborn,low,german
59.4,28.9,17,16.19,80.4,9.7,45.6,47.7,2.8,1.7,1.7,99.6,0.13,0.2,0.04,23,5,19,50,6.9,982,Thurgove,Weinfelden,low,german
71.3,33.9,19.5,97.77,72.9,19.8,51.5,19,6.6,17.4,4.1,3.5,0.17,96.17,0.1,10,39,9,70.1,11,927,Ticino,Bellinzona,low,italian
72.1,24.8,16.9,99.86,78.7,38.4,72.1,13.8,6.4,1.8,4.6,0.11,0.1,99.69,0.1,18,16,31,87.6,4.7,627,Ticino,Bienio,middle,italian
72.1,29.4,19.2,99.04,77.1,33.5,53,15.5,4.4,22.6,3.2,1.69,0.21,97.98,0.09,17,12,25,73.7,14.9,880,Ticino,Leventina,high,italian
71,25.1,21.2,99.45,84.8,31.8,45.3,36.9,6.8,4.7,4.7,0.58,0.11,99.24,0.03,16,24,10,74.5,8.3,701,Ticino,Locarno,low,italian
70.3,29.2,21.6,98.72,80.2,20.4,26.5,55,7.4,4.7,5.3,1.05,0.29,98.48,0.06,11,29,13,69,11.6,792,Ticino,Lugano,low,italian
71.8,34.7,22.5,99.23,73.3,13.5,32,46.8,5.9,9,5.4,0.78,0.1,98.96,0.02,8,37,11,70.9,15.3,892,Ticino,Mendrisio,low,italian
69.8,29.4,21.1,95.34,74.5,31.4,55.1,25.2,4,10.8,2.9,2.67,0.42,96.8,0.08,8,27,10,80.5,8.5,812,Ticino,Riviera,low,italian
65.3,20,17.8,99.77,87.1,46.5,53.5,34.5,2.8,3,5,4.96,0.05,94.98,0,19,10,19,89.4,3.9,600,Ticino,Vallemaggia,low,italian
64.1,35.2,16.5,8.52,64.5,10.8,66.6,21.7,4,3.9,3.4,8.69,89.63,1.43,0,21,14,12,64.2,3.7,1007,Vaud,Aigle,low,french
66.9,38.4,19.1,2.27,68.8,10.7,73.9,17.7,3.1,1.8,3.3,5.17,94.54,0.25,0.01,14,13,7,60.5,2.6,1079,Vaud,Aubonne,middle,french
68.9,31.8,22.7,4.43,85.8,13.5,67,21.9,5.1,2.2,3.3,22.11,76.55,0.64,0,19,12,12,53.2,4.3,969,Vaud,Avenches,low,french
61.7,33.1,18.7,2.82,72.8,11.8,75.3,17.4,2.5,2,2.6,4.81,94.35,0.74,0,22,10,5,55.8,3.3,1096,Vaud,Cossonay,middle,french
68.3,37.2,21.2,24.2,72.5,12.7,77.4,14.6,1.8,2.9,3,3.3,95.73,0.9,0,18,10,2,60.8,2.4,1141,Vaud,Echallens,middle,french
71.7,38.7,20,3.3,63.2,11.5,42.1,49.2,3,2.4,3,5.97,93.17,0.77,0.01,17,12,8,64.5,2.4,1011,Vaud,Grandson,high,french
55.7,22.5,20.2,12.11,83.4,16.8,24.2,39.5,13.9,11.1,9.9,15,80.15,2.25,0.05,26,10,28,40.5,11,872,Vaud,Lausanne,middle,french
