,iyear,imonth,iday,country_txt,region_txt,city,latitude,longitude,summary,doubtterr,multiple,success,suicide,attacktype1_txt,attacktype2_txt,attacktype3_txt,targtype1_txt,corp1,target1,natlty1_txt,targtype2_txt,corp2,target2,natlty2_txt,targtype3_txt,corp3,target3,natlty3_txt,gname,gname2,gname3,motive,individual,nperps,nperpcap,claim2,claim3,weaptype1_txt,weaptype2_txt,weaptype3_txt,weaptype4_txt,weapdetail,nkill,nkillter,nwound,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhours,ndays,ransom,ransomamt,ransompaid,ransomnote,hostkidoutcome_txt,nreleased,,
126655,2014,1,31,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,"01/31/2014: Assailants fired three rockets at the Baghdad International Airport in Baghdad city, Baghdad governorate, Iraq. There were damages to the runway and a plane, but no casualties were reported. No group claimed responsibility for the attack.",0,0,1,0,Bombing/Explosion,,,Airports & Aircraft,Baghdad International Airport,Airport,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,Rockets were used in the attack.,0,0,0,0,1,4,Unknown,-99,A plane and the runway were damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
155541,2015,11,16,Afghanistan,South Asia,Panjshir Naw,34.718299,70.735816,"11/16/2015: A roadside landmine detonated prematurely as assailants were planting it in Panjshir Naw area, Kunar province, Afghanistan. Three assailants were killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attempted attack to the Taliban.",0,0,1,0,Bombing/Explosion,,,Unknown,Unknown,Unknown,,,,,,,,,,Taliban,,,,0,3,0,NA,NA,Explosives,,,,A roadside landmine was used in the attack.,3,3,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
11069,1980,6,1,Bolivia,South America,La Paz,-16.509317,-68.10434,,-9,0,1,0,Unknown,,,Private Citizens & Property,,"Undisclosed site, uninhabited area (haven't pinpointed exact area)",Bolivia,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Unknown,,,,,0,NA,0,NA,1,4,Unknown,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
14289,1981,9,2,Lesotho,Sub-Saharan Africa,Maseru,-29.310013,27.480083,,0,0,1,0,Bombing/Explosion,,,Airports & Aircraft,,Leabua Jonathan Airport,Lesotho,,,,,,,,,Lesotho Liberation Army (LLA),,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
93210,2009,8,13,Iraq,Middle East & North Africa,Baqubah,33.74324,44.623825,"08/13/2009: On Thursday, in the Al Jahiza area south of Ba'qubah, Diyala, Iraq, a suicide bomber detonated an improvised explosive device he was wearing near a group of Sufi Muslims. The explosion killed only the suicide bomber. No group has claimed responsibility.",0,0,1,1,Bombing/Explosion,,,Private Citizens & Property,,A group of Sufi Muslims,Iraq,,,,,,,,,Unknown,,,The specific motive for the attack is unknown.,0,-99,0,NA,NA,Explosives,,,,A suicide improvised explosive device was used in the attack.,1,1,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
173997,2017,4,18,Iraq,Middle East & North Africa,Anah,34.367733,41.985275,"04/18/2017: Security forces intercepted and killed an assailant driving an explosives-laden vehicle in Anah, Al Anbar, Iraq. No group claimed responsibility for the incident.",0,0,0,0,Bombing/Explosion,,,Unknown,Unknown,Unknown,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,,1,1,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
5369,1977,10,8,Spain,Western Europe,Bilbao,43.258434,-2.921819,,0,0,1,0,Assassination,,,Government (General),"Vizcaya govt, civil guard","Augusto Unceta-Barrenechea, head of Vizcaya Provincial Delegation and two g",Spain,,,,,,,,,Basque Fatherland and Freedom (ETA),,,,0,NA,NA,NA,NA,Firearms,Firearms,,,Automatic firearms, Pistol,3,NA,0,NA,0,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,
58557,1995,2,24,Jordan,Middle East & North Africa,Petra,30.322047,35.478358,,0,0,1,0,Armed Assault,,,Government (Diplomatic),,French Diplomat,France,,,,,,,,,Islamic Renewal Movement,,,,0,2,NA,NA,NA,Firearms,,,,Firearm,0,NA,1,NA,0,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
8829,1979,7,1,Israel,Middle East & North Africa,Tel Aviv,32.08297,34.811886,,-9,0,1,0,Bombing/Explosion,,,Business,,slaughter house,Israel,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,NA,NA,NA,NA,1,4,Unknown,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
122691,2013,10,27,Bangladesh,South Asia,Unknown,NA,NA,10/27/2013: Two explosive devices detonated outside of the Election Commission office in Bangladesh. There were no casualties reported in the blasts. No group claimed responsibility for the incident.,0,0,1,0,Bombing/Explosion,,,Government (General),Election Commission of Bangladesh,Office,Bangladesh,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Explosives,,,,Two crude bombs were used in the attack.,0,0,0,0,-9,NA,,NA,It is unknown if any property was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
55988,1994,4,18,Germany,Western Europe,Gottingen,51.532605,9.928442,,-9,0,1,0,Armed Assault,,,Private Citizens & Property,Unkonwn,Israel National,Israel,,,,,,,,,Neo-Nazi extremists,,,,0,NA,NA,NA,NA,Melee,,,,Axe,0,NA,1,NA,0,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
177856,2017,8,12,Pakistan,South Asia,Quetta,30.200819,66.994354,"08/12/2017: A suicide bomber riding a motorcycle detonated near a Frontier Corps (FC) vehicle at the Pishin Stop in Quetta, Balochistan, Pakistan. In addition to the assailant, at least 15 people, including eight soldiers and seven civilians, were killed and 25 other people, including 10 soldiers and 15 civilians, were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the attack.",0,0,1,1,Bombing/Explosion,,,Military,Frontier Corps (FC),Vehicle,Pakistan,Private Citizens & Property,Not Applicable,Civilians,Pakistan,,,,,Khorasan Chapter of the Islamic State,,,"The specific motive is unknown; however, authorities suspected that the attack was intended to disrupt the festivities of Pakistan's seventieth anniversary of independence.",0,1,0,NA,NA,Explosives,,,,An explosives-laden vest containing between 20 and 30 kilograms of explosives was used in the attack.,16,1,25,0,1,3,Minor (likely < $1 million),-99,Unspecified property was damaged in this attack.,0,NA,NA,NA,NA,NA,NA,,,NA,,
122863,2013,10,30,Iraq,Middle East & North Africa,Fallujah,33.349159,43.784199,"10/30/2013: Assailants opened fire on a police patrol in Fallujah city, Al Anbar governorate, Iraq. One police officer was killed and two others were injured in the attack. No group claimed responsibility for the incident.",0,0,1,0,Armed Assault,,,Police,Iraqi Police Service (IPS),Patrol,Iraq,,,,,,,,,Unknown,,,,0,-99,0,NA,NA,Firearms,,,,,1,0,2,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
49381,1991,12,8,Philippines,Southeast Asia,Unknown,NA,NA,,0,0,1,0,Armed Assault,,,Police,Police,Jeep,Philippines,,,,,,,,,New People's Army (NPA),,,,0,NA,NA,NA,NA,Firearms,,,,Automatic firearm,5,NA,0,NA,1,NA,,NA,,0,NA,NA,NA,0,NA,NA,,,NA,,
121706,2013,9,30,Iraq,Middle East & North Africa,Baghdad,33.303566,44.371773,"09/30/2013: An explosives-laden vehicle detonated in Ghazaliyah neighborhood, Baghdad city, Baghdad governorate, Iraq. At least one person was killed and 12 others were injured in the blast. This was one of 15 coordinated car bombings in and around Baghdad on the same day. Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that the attack was in retaliation for intensified security operations in predominantly Sunni areas.",0,1,1,0,Bombing/Explosion,,,Private Citizens & Property,Not Applicable,Civilians,Iraq,,,,,,,,,Islamic State of Iraq and the Levant (ISIL),,,Islamic State of Iraq and the Levant (ISIL) claimed responsibility and stated that this and other coordinated bombings in Baghdad were in retaliation for intensified security  operations against insurgents in Sunni areas.,0,-99,0,NA,NA,Explosives,,,,,1,0,12,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
83989,2007,8,10,Israel,Middle East & North Africa,Jerusalem,31.784838,35.224613,"08/10/2007: In Jerusalem's Old City's Christian Quarter, Israel, an Arab looking man grabbed a pistol from a security guard and shot him in the shoulder.  Nine other people were injured from his gunshots.  The gunmen was shot dead by another guard while attempting to flee the scene.  No group claimed responsibility.",0,0,1,0,Armed Assault,,,Police,Unknown,Unknown,Israel,,,,,,,,,Unknown,,,Unknown,0,1,0,NA,NA,Firearms,,,,,2,1,9,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
51248,1992,5,2,Afghanistan,South Asia,Kabul,34.516895,69.147011,,0,0,1,0,Hostage Taking (Barricade Incident),,,Government (General),Govt.,Former Chief Justice Karim Shardan,Afghanistan,,,,,,,,,Unknown,,,,0,3,NA,NA,NA,Firearms,,,,Pistol,1,NA,0,NA,0,NA,,NA,,1,1,0,1,0,NA,NA,,Hostage(s) killed (not during rescue attempt),0,,
175486,2017,6,2,Cameroon,Sub-Saharan Africa,Kolofata,11.162543,14.013976,"06/02/2017: Two young suicide bombers detonated at a refugee camp in Kolofata, Extreme-North, Cameroon. In addition to the two assailants, at least nine people were killed and 30 other people were injured in the blasts. No group claimed responsibility; however, sources attributed the attack to Boko Haram.",0,0,1,1,Bombing/Explosion,,,Private Citizens & Property,Unknown,Refugee Camp,Cameroon,,,,,,,,,Boko Haram,,,,0,2,0,NA,NA,Explosives,,,,,11,2,30,0,-9,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
111709,2012,10,18,Afghanistan,South Asia,Khaki Safed district,32.677851,61.981391,"10/18/2012: Assailants opened fire on a teacher in Khak-e-Sufaid district, Farah province, Afghanistan. The teacher was killed in the attack. No group claimed responsibility for the incident; however, authorities attributed it to the Taliban.",0,0,1,0,Armed Assault,,,Educational Institution,Not Applicable,Teacher,Afghanistan,,,,,,,,,Taliban,,,,0,-99,0,NA,NA,Firearms,,,,,1,0,0,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
46716,1991,6,7,Guatemala,Central America & Caribbean,Guatemala City,14.622869,-90.529068,,0,0,1,0,Bombing/Explosion,,,Telecommunication,Telephone Co.,Telephone Junction Box,Guatemala,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Explosives,,,,Explosive,0,NA,0,NA,1,3,Minor (likely < $1 million),3000,,0,NA,NA,NA,0,NA,NA,,,NA,,
5752,1978,1,4,Italy,Western Europe,Rome,41.890961,12.490069,,0,0,1,0,Facility/Infrastructure Attack,,,Journalists & Media,Corriere Della Sera (Evening Courier),"offices, Rome daily paper",Italy,,,,,,,,,Armed Revolutionary Nuclei (NAR),,,,0,5,NA,NA,NA,Incendiary,Incendiary,,,Molotov cocktail,NA,NA,1,NA,1,3,Minor (likely < $1 million),60000,,1,1,NA,NA,0,NA,NA,,Hostage(s) released by perpetrators,1,,
12848,1981,2,6,El Salvador,Central America & Caribbean,Apopa,13.79833,-89.17889,,-9,0,1,0,Facility/Infrastructure Attack,,,Transportation,,Bus,El Salvador,,,,,,,,,Unknown,,,,0,NA,NA,NA,NA,Incendiary,,,,Incendiary,NA,NA,NA,NA,1,3,Minor (likely < $1 million),30000,,0,NA,NA,NA,0,NA,NA,,,NA,,
90988,2009,3,9,Pakistan,South Asia,Wana,32.306099,69.579956,"03/09/2009: On Monday, the bodies of three men were found in Wana, South Waziristan, Federally Administered Tribal Areas, Pakistan. The bodies were covered with bullet wounds. There were DVDs with the bodies stating that the men were killed for being US spies along with footage of the men's spying. Tahir Khan was kidnapped on 02/28/2009. It is unknown when and where the other men were taken hostage. The Taliban claimed responsibility.",0,0,1,0,Armed Assault,Hostage Taking (Kidnapping),,Private Citizens & Property,,The specific target was three civilians,Pakistan,,,,,,,,,Tehrik-i-Taliban Pakistan (TTP),,,The motive of the attack was that the men were accused spies for the United States.,0,-99,0,NA,NA,Firearms,,,,Unknown firearms were used in the attack.,3,0,0,0,0,NA,,NA,No property damage was reported.,1,3,NA,-99,0,NA,NA,,Hostage(s) killed (not during rescue attempt),0,,
72265,2001,5,10,West Bank and Gaza Strip,Middle East & North Africa,Unknown,31.385633,34.373045,"05/10/2001: Two Romanian men were killed and one was wounded when a bomb exploded near the security fence they were fixing near the border crossing area of Kissufim, Gaza Strip.  There were no reports of physical damage to the area.  A phone call placed anonymously after the incident claimed that the Hezbollah Palestine movement were behind the attack, saying that this was one more attack in the Palestinian uprising against Israel.",0,0,1,0,Bombing/Explosion,,,Business,Immigrant workers,Three Romanian immigrant men working,Romania,,,,,,,,,Hezbollah Palestine,,,The anonymous caller claimed that this was another attack by the Hizballah Palestine organization in a continuation of the Palestinian uprising against Israel.,0,-99,0,NA,NA,Explosives,,,,The bomb went off near the security fence.,2,0,1,0,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
71250,2000,10,20,United States,North America,Phoenix,33.44826,-112.075774,"10/20/2000: Arson was set to a luxury home under construction near the Phoenix Mountain Preserve in Phoenix, Arizona in the United States, causing significant damage.  There were no casualties in the incident, and the monetary extent of property damage is unknown.  The incident was claimed by the Coalition to Save the Preserves (CSP) in opposition of building and development in the preserved mountain area.  This incident was one in a series of 11 luxury home arsons in the Phoenix area between April 2000 and January 2001.  In June 2001, confessed eco-terrorist Mark Warren Sands was indicted for eight of the arson incidents, pled guilty, and in 2002, was sentenced to 18 years in prison for torching seven luxury homes under construction.  In this particular incident, the victims were homeowners Mario and Melanie Lio, and this was the second time his luxury home was burned after being rebuilt.  The first incident was in April of the same year (40900).",1,0,1,0,Facility/Infrastructure Attack,,,Private Citizens & Property,private luxury residence under construction,"private home of Mario and Melanie Lio, which was under construction in the Phoenix mountain preserve area in AZ",United States,,,,,,,,,Coalition to Save the Preserves (CSP),,,Allegedly in opposition of housing sprawl in the Phoenix Desert Mountain Preserve,0,1,1,NA,NA,Incendiary,,,,,0,0,0,0,1,4,Unknown,NA,"collectively, all eight arsons caused an estimated $5 million in damages",0,NA,NA,NA,0,NA,NA,,,NA,,
88083,2008,7,26,India,South Asia,Ahmedabad,23.03,72.58,"07/26/2008: On Saturday evening after 18:40, a bicycle bomb exploded near pan shops and vegetable vendors at the Raipur Chakla market in Ahmedabad district, Gujarat province, India. This was one of a series of 17 serial bomb blasts that took place within 70 minutes in various crowded places in Ahmedabad and killed a total of 56 civilians and injured 200 others. The bomb, which contained ammonium nitrate, ball bearings, a chemical powder, gelatin, plastic bags, cloth rags and a six volt Chinese-made battery attached to a timer device and stored inside a carton, was planted on an old bicycle. Even though the blast was of low intensity, it was enough to shatter the windowpanes of the Ahmedabad Municipal Transport Service buses in the vicinity. A lesser known group called Indian Mujahideen claimed responsibility for the Ahmedabad bombing attacks with a 14 page email manifesto sent to the media minutes before the first bomb blast. According to the Indian Mujahideen, the bombings were carried out to avenge the 2002 anti-Muslim violence in Gujarat. On 08/14/2008, a suspected activist of the Students Islamic Movement of India (SIMI), Mohammad Sajid Mansori, was arrested by police in Bharuch while on 08/16/2008, the leader of the SIMI movement, Abul Bashar Qasmi, admitted to his and to several other SIMI members� involvement in connection with the serial bomb blasts after he was arrested by police in Uttar Pradesh. Six other senior SIMI members, in addition to eight locals, were also arrested, for a total of 16 individuals connected to the bombing attacks. Following the police investigation, authorities speculated that the Indian Mujahideen was just a front name for the SIMI group.",0,1,1,0,Bombing/Explosion,,,Private Citizens & Property,,Indiscriminate civilians at the the Raipur Chakla market,India,,,,,,,,,Indian Mujahideen,,,The bombing attack was carried out to avenge the 2002 anti-Muslim violence in Gujarat.,0,-99,16,NA,NA,Explosives,,,,"A bomb containing ammonium nitrate, ball bearings,  a chemical powder , gelatin, plastic bags, cloth rags and a six volt Chinese-made battery attached to a timer device, stored in a carton and planted on an old bicycle, was used in the bombing attack.",3,0,11,0,1,4,Unknown,NA,"Specific property damage at this location was unknown, although the windowpanes of the Ahmedabad Municipal Transport Service buses that were in the vicinity were shattered from the blast.",0,NA,NA,NA,NA,NA,NA,,,NA,,
103893,2011,11,10,Pakistan,South Asia,Bara district,33.920331,71.462721,"11/10/2011: At least two dozen members of Lashkar-e-Islam attacked a checkpost for the Akakhel Peace Committee in Daro Adda area of Bara tehsil, Khyber Agency, Pakistan.  The assailants opened fire on the members of the peace committee, killing at least four peace volunteers.  The assailants fled the scene, evading capture;  the specific motive behind the attack is unknown.",0,0,1,0,Armed Assault,,,Private Citizens & Property,Civilians,Volunteers for the Akakhel Peace Committee,Pakistan,,,,,,,,,Lashkar-e-Islam (Pakistan),,,Unknown,0,24,0,NA,NA,Firearms,,,,,5,NA,NA,NA,0,NA,,NA,,0,NA,NA,NA,NA,NA,NA,,,NA,,
